vohjoyiy;11;11
oveethip;40;40
ahgiwiep;14;14
eeruwohl;501;1
oehoohia;24;24
efeuyuta;219;219
zaefatec;13;13
eefubaul;262;12
shasukai;254;4
iiruadaf;273;23
pajeyaig;17;17
oushelau;24;24
xobicaev;560;60
seofiach;27;27
zohniosh;4;4
johdipae;15;15
fayahhie;7;7
kuchuema;820;70
vuitietu;194;194
uujuraez;515;15
ohceejat;74;74
nomieget;266;16
kohjulot;530;30
iewapauv;277;27
naivirim;232;232
bebokoow;416;166
naciutho;304;54
quephuno;2;2
jeemiloh;224;224
jetughev;21;21
atakapha;85;85
cifohsah;753;3
checieta;4;4
inaingig;43;43
gaubikoo;53;53
xaemequo;75;75
wemajien;15;15
leiwouki;511;11
aquiinao;103;103
waireaho;759;9
farauwoh;9;9
ohseikoo;354;104
yaerovie;599;99
peatheel;750;0
faoxeocu;559;59
gioshuri;22;22
oukoocia;67;67
aehasote;410;160
ohlodies;37;37
bohsemue;13;13
gahlitir;359;109
leijomie;559;59
rubeipoo;3;3
aidaibaz;817;67
jonangie;284;34
akioceeb;504;4
oakuovea;277;27
ezaihozi;87;87
gokiephu;16;16
kahphaic;246;246
goofaafu;252;2
jiesheos;12;12
vokoinee;5;5
aenuwefo;12;12
meiyemuw;164;164
voocahou;619;119
yeinoyex;109;109
vumeyohc;263;13
akovochi;61;61
sobochoh;1;1
neitevie;2;2
xeemiuga;251;1
ieneviif;33;33
sebaizee;46;46
foideevo;27;27
leupoome;32;32
yaaquesi;285;35
ahlaipew;134;134
ieseayat;27;27
peecuera;99;99
oovieyee;16;16
watheibu;521;21
ahcopees;841;91
pheayocu;984;234
aiwiluva;192;192
ejaoniwe;321;71
aipefaum;284;34
solioshe;16;16
ushoucuj;290;40
oiyidaen;30;30
umetoofe;261;11
eifaegiu;86;86
dauhaime;53;53
ringoifa;11;11
beepucha;716;216
thuboofa;51;51
caebuvaw;244;244
ehaloafa;0;0
uzeidath;196;196
suakohle;5;5
sioxingo;297;47
ebahveid;111;111
aitedohx;152;152
aisopahj;14;14
egeihaot;277;27
weepiroo;750;0
gohrevae;3;3
pohjokae;164;164
nootepah;231;231
netohngu;289;39
tairooya;2;2
ielahyas;34;34
hodahsai;509;9
iunibube;3;3
ferajiec;15;15
yuxieyah;12;12
ilongeoy;56;56
ekookoze;63;63
ogaekezo;415;165
phiuneiw;226;226
dieroosi;116;116
xeinafos;220;220
sheaghaz;148;148
deirieva;483;233
haogavay;31;31
teifuopo;483;233
xupeekiy;14;14
zashothe;521;21
thizeala;6;6
chowoveu;11;11
iutheefi;46;46
maibujug;69;69
ohriupho;246;246
aikopish;0;0
veimeeth;53;53
shadugag;278;28
puujeeti;545;45
heocoiwi;28;28
jiufopho;20;20
ujosaiza;248;248
wadiachi;437;187
